district,address,rent,bedrooms,living-dining,bathrooms,loft,sqmeters,entire_building,building_type,use_type_en,heat,ac,balcony,WIFI,outdoor_space,bathtub,floor_heat,oven,total_amens
Huangpu,淮海中路526弄77号,2500.0,1,0,1,0,20,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,延庆路29弄21号,2500.0,1,0,1,0,15,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Putuo,武宁路2525弄21号,2500.0,1,0,0,0,18,0,public housing,residential,0,1,1,1,0,0,0,0,3
Jing'an,南京西路972弄986号,2500.0,1,0,1,0,15,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Huangpu,广东路392号,2500.0,1,0,1,0,10,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,永嘉路128号,2600.0,1,0,1,0,8,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,武定路890弄,2600.0,1,0,1,0,15,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Xuhui,建国西路619弄10号,2700.0,1,0,1,0,15,0,detached lane house,residential,1,1,1,0,1,1,0,0,5
Jing'an,新乐路56弄,2700.0,1,1,1,0,20,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Xuhui,南昌路136弄42号,2800.0,1,0,1,0,12,0,attached lane house,residential,1,0,0,0,0,0,0,0,1
Pudong,崂山新村121号,2800.0,1,1,1,0,32,0,public housing,residential,0,1,0,1,0,1,0,0,3
Huangpu,新昌路87弄43号,2800.0,1,0,1,0,15,0,public housing,residential,0,1,0,0,0,0,0,0,1
Jing'an,新闸路1380弄6号,2800.0,1,0,1,0,20,0,attached lane house,residential,1,1,0,1,1,1,0,0,5
Baoshan,联泰路63号,2800.0,1,1,1,0,28,0,villa,residential,0,0,0,0,1,0,0,0,1
Jing'an,陕西北路175弄6号,2800.0,1,0,1,0,13,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,延庆路72号,2800.0,1,0,1,0,15,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Putuo,大渡河路1262弄42号,2800.0,1,0,0,0,15,0,public housing,residential,0,1,0,1,0,0,0,0,2
Huangpu,南昌路178弄18号,2900.0,1,0,1,0,12,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Zhabei,闻喜路251弄14号,2900.0,1,1,1,0,41,0,public housing,residential,0,1,1,1,1,0,0,0,4
Putuo,真光路1433弄26号,2900.0,1,0,0,0,16,0,public housing,residential,0,1,1,1,0,0,0,0,3
Huangpu,新昌路120号,2900.0,1,0,1,0,15,0,public housing,residential,0,1,0,0,0,0,0,0,1
Huangpu,梦花街73弄1号,3000.0,1,1,1,0,38,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,梦花街73弄1号,3000.0,2,0,1,0,52,0,attached lane house,residential,0,1,1,0,1,0,0,0,3
Huangpu,新昌路87弄43号,3000.0,1,0,1,0,12,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,新昌路87弄43号,3000.0,1,0,1,0,15,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,新昌路87弄43号,3000.0,1,0,1,0,15,0,public housing,residential,0,1,0,0,0,0,0,0,1
Huangpu,新昌路87弄43号,3000.0,1,1,1,0,15,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,梦花街73弄1号,3000.0,1,1,1,0,38,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Jing'an,威海路830号,3000.0,1,0,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,梦花街73弄1号,3000.0,1,1,1,0,38,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,梦花街73弄1号,3000.0,1,1,1,0,38,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,梦花街73弄1号,3000.0,1,1,1,0,30,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,梦花街73弄1号,3000.0,1,1,1,0,38,0,public housing,residential,1,1,0,0,0,0,0,0,2
Huangpu,梦花街73弄1号,3000.0,1,1,1,0,30,0,attached lane house,residential,0,1,1,1,0,0,0,0,3
Huangpu,梦花街73弄1号,3000.0,1,2,1,0,36,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,梦花街91号,3000.0,1,1,1,0,30,0,attached lane house,residential,1,1,1,0,1,1,0,0,5
Huangpu,新天地路555号,3000.0,1,1,1,0,30,0,attached lane house,residential,1,1,1,1,1,1,0,0,6
Xuhui,襄阳南路306弄79号,3000.0,1,0,1,0,15,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,嘉善路236弄6号,3000.0,1,0,1,0,15,0,detached lane house,multi-use,0,1,0,0,0,0,0,0,1
Xuhui,嘉善路119弄1楼,3000.0,1,0,1,0,15,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,复兴中路1218弄20号,3000.0,1,0,1,0,15,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,南丹路286弄4号,3000.0,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,南丹路286弄4号,3000.0,1,1,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,新昌路87弄43号,3000.0,1,0,1,0,12,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,南丹路286弄4号,3000.0,1,1,1,0,20,0,public housing,residential,0,1,0,0,0,0,0,0,1
Hongkou,峨眉路407号,3000.0,1,0,1,0,18,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,南丹路286弄212号,3000.0,1,1,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,淮海中路526弄65号,3200.0,1,0,1,0,10,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,陕西南路25弄,3200.0,1,0,1,0,15,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Baoshan,顾太路85弄158号,3200.0,2,1,1,0,74,0,public housing,residential,0,0,0,0,1,0,0,0,1
Huangpu,瑞金二路129弄39号,3200.0,1,0,1,0,12,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,江苏路62弄,3200.0,1,0,1,0,40,0,detached lane house,residential,1,0,0,0,1,0,0,0,2
Xuhui,永康路38弄18号,3200.0,1,0,1,0,20,0,attached lane house,residential,0,1,1,1,0,0,0,0,3
Huangpu,延安中路545弄3号,3200.0,1,0,1,0,12,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Baoshan,淞南三村65号,3234.0,2,1,1,0,58,0,attached lane house,residential,0,0,0,0,1,0,0,0,1
Xuhui,复兴中路1295弄4号,3300.0,1,0,1,0,10,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,长宁支路133弄,3300.0,1,0,1,0,33,0,public housing,residential,0,0,0,0,1,0,0,0,1
Huangpu,长乐路81号,3300.0,1,1,1,0,15,0,detached lane house,residential,1,1,0,1,0,0,0,0,3
Jing'an,陕西北路119弄830号,3300.0,1,1,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,威海路830号,3300.0,1,1,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,威海路830号,3300.0,1,1,1,0,20,0,attached lane house,residential,0,0,0,0,0,0,0,0,0
Xuhui,陕西南路271弄1号,3300.0,1,0,1,1,20,0,detached lane house,multi-use,0,1,0,0,0,0,0,0,1
Jing'an,华山路351弄10号,3300.0,1,0,1,0,15,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,陕西北路119弄,3300.0,1,1,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Putuo,双山路161弄7号,3390.0,1,1,1,0,40,0,public housing,residential,0,1,1,1,1,1,0,0,5
Huangpu,陕西南路287弄18号,3400.0,1,0,1,0,15,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,进贤路138弄3号,3400.0,1,0,1,0,15,0,attached lane house,residential,0,1,0,0,1,0,0,0,2
Huangpu,陕西南路287弄26号,3450.0,1,0,1,0,22,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,娄山关路815弄128号,3499.0,1,0,1,0,26,0,public housing,residential,0,1,1,0,0,0,0,0,2
Huangpu,梦花街73弄1号,3500.0,1,1,1,0,25,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,梦花街73弄1号,3500.0,1,1,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Putuo,大渡河路2030弄6号,3500.0,1,1,1,0,41,0,public housing,multi-use,0,1,1,0,0,0,0,0,2
Xuhui,永嘉路394号,3500.0,1,0,1,0,20,0,attached lane house,residential,0,0,0,0,1,0,0,0,1
Jing'an,延平路220弄9号,3500.0,1,0,1,0,37,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,淮海中1984弄23号,3500.0,1,0,1,0,13,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,陕西南路287弄7号,3500.0,1,0,1,0,15,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,雁荡路55弄7号,3500.0,1,0,1,0,13,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,新乐路100弄10号,3500.0,1,0,1,0,12,0,attached lane house,residential,1,1,0,0,0,0,0,0,2
Huangpu,马当路306弄51号,3500.0,1,0,1,0,16,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,新昌路111号,3500.0,1,1,1,1,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,安福路228弄11号,3500.0,1,0,1,0,12,0,public housing,residential,0,1,0,0,0,0,0,0,1
Jing'an,富民路197弄37号,3500.0,1,0,1,0,12,0,attached lane house,residential,1,1,0,0,0,0,0,0,2
Jing'an,愚园路608弄180号,3600.0,1,0,1,0,15,0,attached lane house,residential,1,1,0,0,0,0,0,0,2
Xuhui,永康路38弄18号,3600.0,1,0,1,0,22,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,威海路652弄168号,3600.0,1,0,1,0,18,0,detached lane house,residential,0,1,1,0,0,0,0,0,2
Huangpu,宁海东路41号,3600.0,1,1,1,0,20,0,attached lane house,residential,0,1,1,0,1,0,0,0,3
Jing'an,阳曲路470弄，35号,3600.0,1,1,1,0,50,0,public housing,multi-use,0,1,1,0,0,0,0,0,2
Minhang,华侨城四期1306号,3619.0,2,1,1,0,59,0,attached lane house,residential,0,1,1,0,1,0,0,0,3
Xuhui,巨鹿路401弄3号,3650.0,1,0,1,0,17,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,淡水路228号,3700.0,1,0,1,0,13,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,医学院路52号,3800.0,1,0,1,0,21,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,复兴西路30弄5号,3800.0,1,1,1,0,20,0,attached lane house,multi-use,0,1,0,0,0,0,0,0,1
Huangpu,梦花街73弄1号,3800.0,1,1,1,0,25,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,天平路212弄3号,3800.0,1,0,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Putuo,顺义路10弄10号,3800.0,1,0,1,0,34,0,public housing,residential,0,1,1,0,0,0,0,0,2
Huangpu,长乐路169弄38号,3800.0,1,1,1,0,20,0,attached lane house,multi-use,1,1,1,0,0,0,1,0,4
Changning,新华路393弄2号,3800.0,1,0,1,0,22,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,安福路275弄,3800.0,1,0,0,0,20,0,detached lane house,residential,0,1,0,0,1,0,0,0,2
Huangpu,长乐路169弄69号,3800.0,1,0,1,0,10,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,北海路267弄9号,3800.0,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,北海路267弄9号,3800.0,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,安福路229弄,3800.0,1,1,1,0,20,0,public housing,multi-use,1,1,1,1,1,1,0,0,6
