,Unnamed: 0,district,complex_name,rental_period,use_type,building_type,floor,layout,sqmeters,address,price,amenities,descript,address_translate
4,4,徐汇-老法租界,兴顺东里,长租,住宅,新式里弄,*/3层,1室1厅1卫,29平米,永康路37弄32号二楼朝南间,5500.0,"['暖气', '空调', '浴缸', '', '']","['永康路37弄', '32号2楼朝南正间', '可从嘉善路兴顺东里小区入口进', '看房随时', '钥匙在襄阳南路361号缙腾地产']",永康路37弄32号
27,27,黄浦-打浦桥,曲园,长租,住宅/工作室,老洋房,*/3层,1室2厅1卫,70平米,建国西路56弄35号,14500.0,"['暖气', '户外空间', '空调', '独卫']","['独用花园40平米', '地暖', '可以住家', '也可以做简单工作室', '6月底空出', '预约可安排看房']",建国西路56弄35号
34,34,徐汇-老法租界,,长租,住宅,老公房,*/5层,1室1厅1卫,50平米,五原路87弄9号102,8500.0,[],[],五原路87弄9号
35,35,徐汇-老法租界,,长租,住宅/工作室,老公房,*/6层,2室2厅2卫,98平米,宛平路6弄3号101,25000.0,"['户外空间', '空调', '独卫', '阳台']","['小区安静整洁', '出行方便']",宛平路6弄3号
36,36,徐汇-老法租界,福禄邨,长租,住宅,老洋房,*/3层,1室0厅1卫,28平米,建国西路384弄1号福禄邨,5800.0,"['暖气', '', '空调', '独卫']","['建国西路384弄26号2楼', '1室1卫开发式厨房', '烤箱', '冰箱', '暖气', '空调', '厨房', '卫生套内', '新装修', '随时看房随时起租', '可以做民宿']",建国西路384弄1号
39,39,徐汇-老法租界,,长租,住宅,老公房,*/5层,2室1厅1卫,45平米,襄阳南路452弄149号103室,8500.0,"['空调', '独卫', 'WIFI']","['公房一楼南北两房一厅', '智能马桶', '烘干机', '阳光房8500元', '月', '附近地铁线1', '9', '10', '12', '交通方面', '菜市场', '医院', '紧邻附近']",襄阳南路452弄149号
41,41,黄浦-人民广场,,长租,住宅,新式里弄,*/3层,2室1厅1卫,45平米,威海路190弄6号201,7500.0,"['空调', '独卫']","['看房随时', '钥匙在威海路186号意直地产']",威海路190弄6号
42,42,静安-南京西路,,长租,住宅/工作室,老洋房,整栋,2室1厅1卫,100平米,西康路356号,20800.0,[],"['曼妙投资作品', '西康路356号沿街二楼整层', '靠近武定路新闸路路口', '房间有超大西式厨房', '美食摄影工作室最佳', '可办公', '美甲', '画室', '婚纱', '没有转让费', '图片真实', '南京路商业圈', '楼下就是肯德基和酒吧', '地段无敌', '实用面积100平米']",西康路356号
47,47,静安-静安寺,,长租,住宅,新式里弄,*/3层,2室2厅1卫,90平米,康定路754号1楼,14000.0,"['暖气', '户外空间', '空调', '独卫']","['房子靠近7号线昌平路地铁站', '出行很方便']",康定路754号
51,51,黄浦-人民广场,无锡小区,长租,住宅,新式里弄,*/3层,2室1厅1卫,35平米,山西南路339号后门3楼,5000.0,"['独卫', '空调']","['山西南路339号后门3楼', '复式两房一厅一厨一卫', '可以居家', '可以宿舍', '看房提前约', '租客转租']",山西南路339号
